crash_id,lat,lon,severity,vehicles_involved,junction_name
C0001,12.974264,77.570358,GRIEVOUS,3,Majestic Area
C0002,12.978417,77.572016,MINOR,1,Majestic Area
C0003,12.978784,77.574629,GRIEVOUS,2,Majestic Area
C0004,12.972483,77.569547,MINOR,4,Majestic Area
C0005,12.979696,77.572037,GRIEVOUS,1,Majestic Area
C0006,12.982863,77.565716,GRIEVOUS,1,Majestic Area
C0007,12.972528,77.57292,GRIEVOUS,3,Majestic Area
C0008,12.978881,77.577763,MINOR,2,Majestic Area
C0009,12.97176,77.570911,MINOR,1,Majestic Area
C0010,12.980374,77.568836,GRIEVOUS,1,Majestic Area
C0011,12.979338,77.57525,MINOR,1,Majestic Area
C0012,12.983113,77.568366,MINOR,2,Majestic Area
C0013,12.980925,77.574459,GRIEVOUS,4,Majestic Area
C0014,12.982833,77.573986,FATAL,4,Majestic Area
C0015,12.980696,77.571229,MINOR,1,Majestic Area
C0016,12.977935,77.607069,GRIEVOUS,1,MG Road Area
C0017,12.9773,77.606879,MINOR,3,MG Road Area
C0018,12.979299,77.613958,FATAL,3,MG Road Area
C0019,12.974578,77.610939,MINOR,4,MG Road Area
C0020,12.978907,77.608766,GRIEVOUS,3,MG Road Area
C0021,12.97527,77.606745,GRIEVOUS,1,MG Road Area
C0022,12.976425,77.604609,MINOR,3,MG Road Area
C0023,12.97267,77.604024,MINOR,4,MG Road Area
C0024,12.973491,77.607827,MINOR,3,MG Road Area
C0025,12.978068,77.5932,MINOR,4,MG Road Area
C0026,12.974325,77.607798,GRIEVOUS,3,MG Road Area
C0027,12.976925,77.605907,MINOR,2,MG Road Area
C0028,12.97756,77.641768,MINOR,1,Indiranagar Area
C0029,12.977657,77.641338,MINOR,4,Indiranagar Area
C0030,12.981144,77.635968,GRIEVOUS,1,Indiranagar Area
C0031,12.972916,77.644051,FATAL,4,Indiranagar Area
C0032,12.971992,77.642721,GRIEVOUS,3,Indiranagar Area
C0033,12.972567,77.643421,GRIEVOUS,1,Indiranagar Area
C0034,12.975105,77.638503,FATAL,2,Indiranagar Area
C0035,12.978856,77.644149,GRIEVOUS,1,Indiranagar Area
C0036,12.975765,77.644233,MINOR,3,Indiranagar Area
C0037,12.973841,77.641719,MINOR,4,Indiranagar Area
C0038,12.93541,77.620029,GRIEVOUS,2,Koramangala Area
C0039,12.940413,77.621577,GRIEVOUS,4,Koramangala Area
C0040,12.936058,77.623378,GRIEVOUS,4,Koramangala Area
C0041,12.927597,77.62184,MINOR,2,Koramangala Area
C0042,12.933881,77.624272,GRIEVOUS,3,Koramangala Area
C0043,12.935713,77.619896,GRIEVOUS,4,Koramangala Area
C0044,12.936927,77.622844,GRIEVOUS,4,Koramangala Area
C0045,12.938493,77.622871,FATAL,2,Koramangala Area
C0046,12.929586,77.628262,GRIEVOUS,1,Koramangala Area
C0047,12.93725,77.622606,MINOR,3,Koramangala Area
C0048,12.932287,77.625299,MINOR,3,Koramangala Area
C0049,12.907236,77.648005,FATAL,2,HSR Layout Area
C0050,12.913729,77.649391,FATAL,1,HSR Layout Area
C0051,12.909612,77.64768,MINOR,2,HSR Layout Area
C0052,12.9052,77.644335,GRIEVOUS,2,HSR Layout Area
C0053,12.917016,77.644043,MINOR,4,HSR Layout Area
C0054,12.915258,77.646664,GRIEVOUS,1,HSR Layout Area
C0055,12.910072,77.645064,GRIEVOUS,4,HSR Layout Area
C0056,12.914863,77.645126,FATAL,4,HSR Layout Area
C0057,12.910586,77.64684,MINOR,4,HSR Layout Area
C0058,12.916221,77.647368,MINOR,2,HSR Layout Area
C0059,12.911312,77.640553,GRIEVOUS,4,HSR Layout Area
C0060,12.914139,77.641108,MINOR,3,HSR Layout Area
C0061,12.911186,77.642408,MINOR,3,HSR Layout Area
C0062,12.917772,77.652183,FATAL,4,HSR Layout Area
C0063,12.91848,77.647447,GRIEVOUS,4,HSR Layout Area
C0064,12.844696,77.660842,MINOR,2,Electronic City Area
C0065,12.841612,77.66373,FATAL,4,Electronic City Area
C0066,12.836397,77.659498,FATAL,1,Electronic City Area
C0067,12.850174,77.660435,GRIEVOUS,2,Electronic City Area
C0068,12.846843,77.656819,FATAL,2,Electronic City Area
C0069,12.856305,77.659801,MINOR,4,Electronic City Area
C0070,12.850316,77.659694,MINOR,4,Electronic City Area
C0071,12.851227,77.65736,MINOR,3,Electronic City Area
C0072,12.848291,77.659361,GRIEVOUS,4,Electronic City Area
C0073,12.846053,77.664141,FATAL,2,Electronic City Area
C0074,12.849455,77.656986,MINOR,4,Electronic City Area
C0075,12.851436,77.663097,GRIEVOUS,3,Electronic City Area
C0076,12.962558,77.758356,GRIEVOUS,3,Whitefield Area
C0077,12.971804,77.746467,GRIEVOUS,1,Whitefield Area
C0078,12.969965,77.753741,FATAL,4,Whitefield Area
C0079,12.969985,77.751609,GRIEVOUS,2,Whitefield Area
C0080,12.966996,77.742005,GRIEVOUS,4,Whitefield Area
C0081,12.972842,77.752318,MINOR,4,Whitefield Area
C0082,12.963334,77.752995,MINOR,4,Whitefield Area
C0083,12.964179,77.742661,GRIEVOUS,2,Whitefield Area
C0084,12.973283,77.745647,MINOR,2,Whitefield Area
C0085,12.965992,77.750927,FATAL,3,Whitefield Area
C0086,12.974429,77.743591,FATAL,2,Whitefield Area
C0087,13.022914,77.537807,GRIEVOUS,3,Yeshwanthpur Area
C0088,13.02469,77.524976,GRIEVOUS,4,Yeshwanthpur Area
C0089,13.026849,77.53376,GRIEVOUS,3,Yeshwanthpur Area
C0090,13.03,77.533555,GRIEVOUS,2,Yeshwanthpur Area
C0091,13.025239,77.535103,GRIEVOUS,1,Yeshwanthpur Area
C0092,13.024611,77.534326,MINOR,4,Yeshwanthpur Area
C0093,13.028021,77.534765,FATAL,4,Yeshwanthpur Area
C0094,13.027807,77.602219,MINOR,3,Hebbal Area
C0095,13.033248,77.600711,MINOR,3,Hebbal Area
C0096,13.037506,77.598293,GRIEVOUS,1,Hebbal Area
C0097,13.032259,77.591275,MINOR,2,Hebbal Area
C0098,13.034181,77.599287,MINOR,3,Hebbal Area
C0099,13.03814,77.59375,MINOR,1,Hebbal Area
C0100,13.033011,77.603033,GRIEVOUS,4,Hebbal Area
C0101,13.037124,77.592515,FATAL,2,Hebbal Area
C0102,13.032791,77.596223,GRIEVOUS,4,Hebbal Area
C0103,13.037776,77.590649,GRIEVOUS,4,Hebbal Area
C0104,13.033634,77.598013,GRIEVOUS,1,Hebbal Area
C0105,13.034445,77.602757,FATAL,1,Hebbal Area
C0106,13.031936,77.590486,GRIEVOUS,3,Hebbal Area
C0107,13.036223,77.584717,MINOR,4,Hebbal Area
C0108,13.039881,77.597561,MINOR,4,Hebbal Area
C0109,13.038901,77.592263,GRIEVOUS,4,Hebbal Area
C0110,13.034762,77.597565,GRIEVOUS,3,Hebbal Area
C0111,13.033771,77.597195,MINOR,4,Hebbal Area
C0112,13.033551,77.593651,GRIEVOUS,2,Hebbal Area
C0113,13.032803,77.595562,GRIEVOUS,3,Hebbal Area
C0114,13.037056,77.600647,MINOR,4,Hebbal Area
C0115,13.033393,77.592279,MINOR,4,Hebbal Area
C0116,13.043732,77.600474,FATAL,1,Hebbal Area
C0117,13.030866,77.596126,MINOR,3,Hebbal Area
C0118,13.036371,77.601016,MINOR,2,Hebbal Area
C0119,13.031272,77.592017,GRIEVOUS,4,Hebbal Area
C0120,13.03626,77.597729,GRIEVOUS,1,Hebbal Area
C0121,13.037617,77.59749,MINOR,2,Hebbal Area
C0122,13.023687,77.594994,GRIEVOUS,3,Hebbal Area
C0123,13.037091,77.597866,MINOR,2,Hebbal Area
C0124,12.922514,77.596999,FATAL,3,Jayanagar Area
C0125,12.927928,77.596014,GRIEVOUS,1,Jayanagar Area
C0126,12.925009,77.591663,FATAL,4,Jayanagar Area
C0127,12.922711,77.59381,GRIEVOUS,2,Jayanagar Area
C0128,12.925637,77.597591,GRIEVOUS,4,Jayanagar Area
C0129,12.922787,77.598713,GRIEVOUS,3,Jayanagar Area
C0130,12.927303,77.594904,MINOR,1,Jayanagar Area
C0131,12.929531,77.592891,MINOR,1,Jayanagar Area
C0132,12.92421,77.595851,MINOR,4,Jayanagar Area
C0133,12.929163,77.59509,MINOR,4,Jayanagar Area
C0134,12.92671,77.592888,GRIEVOUS,2,Jayanagar Area
C0135,12.926863,77.596076,MINOR,2,Jayanagar Area
C0136,12.920801,77.596276,GRIEVOUS,3,Jayanagar Area
C0137,12.924013,77.595999,MINOR,1,Jayanagar Area
C0138,12.924451,77.554375,MINOR,3,Banashankari Area
C0139,12.927054,77.545823,GRIEVOUS,3,Banashankari Area
C0140,12.923123,77.54771,MINOR,1,Banashankari Area
C0141,12.919324,77.547684,MINOR,3,Banashankari Area
C0142,12.924417,77.547589,GRIEVOUS,3,Banashankari Area
C0143,12.928014,77.54356,GRIEVOUS,1,Banashankari Area
C0144,12.918582,77.544897,MINOR,3,Banashankari Area
C0145,12.922018,77.53853,GRIEVOUS,2,Banashankari Area
C0146,12.918292,77.550713,MINOR,3,Banashankari Area
C0147,12.929136,77.545723,FATAL,3,Banashankari Area
C0148,12.937566,77.55258,MINOR,2,Banashankari Area
C0149,12.927243,77.54599,MINOR,3,Banashankari Area
C0150,12.930718,77.549054,FATAL,1,Banashankari Area
C0151,12.927705,77.548469,MINOR,3,Banashankari Area
C0152,12.927117,77.558411,FATAL,1,Banashankari Area
C0153,12.956108,77.700106,GRIEVOUS,1,Marathahalli Area
C0154,12.95963,77.702319,FATAL,1,Marathahalli Area
C0155,12.952724,77.700833,GRIEVOUS,3,Marathahalli Area
C0156,12.952641,77.70126,FATAL,4,Marathahalli Area
C0157,12.955061,77.692265,MINOR,2,Marathahalli Area
C0158,12.957193,77.694866,GRIEVOUS,4,Marathahalli Area
C0159,12.956095,77.701073,MINOR,3,Marathahalli Area
C0160,12.959951,77.70667,GRIEVOUS,4,Marathahalli Area
C0161,12.95283,77.699587,MINOR,3,Marathahalli Area
C0162,12.95967,77.698928,GRIEVOUS,2,Marathahalli Area
C0163,12.959301,77.704477,FATAL,3,Marathahalli Area
C0164,12.952848,77.697698,MINOR,3,Marathahalli Area
C0165,12.959547,77.702523,FATAL,3,Marathahalli Area
C0166,12.957796,77.70166,GRIEVOUS,4,Marathahalli Area
C0167,12.955469,77.704147,GRIEVOUS,2,Marathahalli Area
C0168,12.951823,77.702297,MINOR,4,Marathahalli Area
C0169,12.959158,77.703803,FATAL,2,Marathahalli Area
C0170,12.949034,77.702031,MINOR,3,Marathahalli Area
C0171,12.95876,77.696687,GRIEVOUS,1,Marathahalli Area
C0172,12.950898,77.701137,MINOR,1,Marathahalli Area
C0173,12.960396,77.703346,FATAL,2,Marathahalli Area
C0174,12.958125,77.702124,MINOR,1,Marathahalli Area
C0175,12.954322,77.704028,GRIEVOUS,3,Marathahalli Area
C0176,12.963617,77.713125,FATAL,4,Marathahalli Area
C0177,12.952751,77.708036,GRIEVOUS,3,Marathahalli Area
C0178,12.955336,77.699009,FATAL,4,Marathahalli Area
C0179,12.949214,77.705842,MINOR,1,Marathahalli Area
C0180,12.95315,77.701907,FATAL,3,Marathahalli Area
C0181,12.95148,77.70024,GRIEVOUS,1,Marathahalli Area
C0182,12.957909,77.697525,MINOR,1,Marathahalli Area
